2020-06-11 17:45:05,709| unknown| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 401 
2020-06-11 17:45:05,805| Administrator| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 200 
2020-06-11 17:45:09,417| Administrator| Bearer| 172.20.0.1| GET| /sp/idpConnections?page=1&numberPerPage=50&filter=&spInitSSO=true| 200 
2020-06-11 17:45:11,222| Administrator| Bearer| 172.20.0.1| GET| /authenticationSelectors?page=1&numberPerPage=50&filter=&spInitSSO=true| 200 
2020-06-11 17:56:22,459| unknown| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 401 
2020-06-11 17:56:22,473| Administrator| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 200 
2020-06-11 17:57:54,181| unknown| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 401 
2020-06-11 17:57:54,195| Administrator| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 200 
2020-06-11 17:58:00,411| Administrator| Bearer| 172.20.0.1| GET| /sp/idpConnections?page=1&numberPerPage=50&filter=&spInitSSO=true| 200 
2020-06-11 17:58:02,594| Administrator| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 200 
2020-06-11 17:58:06,576| unknown| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 401 
2020-06-11 17:58:06,591| Administrator| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 200 
2020-06-11 17:58:31,872| unknown| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 401 
2020-06-11 17:58:31,884| Administrator| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 200 
2020-06-11 17:58:53,390| unknown| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 401 
2020-06-11 17:58:53,405| Administrator| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 200 
2020-06-11 17:58:56,303| unknown| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 401 
2020-06-11 17:58:56,315| Administrator| Bearer| 172.20.0.1| GET| /idp/adapters?page=1&numberPerPage=50&filter=&spInitSSO=true| 200 
