2020-06-11 16:25:02,544| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| | 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| inprogress| httpbin| | 229 
2020-06-11 16:25:11,368| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| pingchannel| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| success| httpbin| | 54 
2020-06-11 16:25:11,420| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| SSO| pingchannel| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| success| httpbin| | 106 
2020-06-11 16:27:17,980| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| | 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| inprogress| httpbin| | 8 
2020-06-11 16:27:27,199| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| pingchannel| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| success| httpbin| | 9 
2020-06-11 16:27:27,202| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| SSO| pingchannel| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| success| httpbin| | 12 
2020-06-11 16:30:43,808| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| | 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| inprogress| httpbin| | 8 
2020-06-11 16:30:47,158| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| test| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| inprogress| httpbin| | 27 
2020-06-11 16:30:55,381| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| pingchannel| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| success| httpbin| | 8 
2020-06-11 16:30:55,384| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| SSO| pingchannel| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| success| httpbin| | 11 
2020-06-11 16:32:21,975| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| | 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| inprogress| httpbin| | 8 
2020-06-11 16:32:27,178| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| pingchannel| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| success| httpbin| | 7 
2020-06-11 16:32:27,181| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| SSO| pingchannel| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| success| httpbin| | 9 
2020-06-11 16:33:12,910| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| | 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| inprogress| httpbin| | 9 
2020-06-11 16:33:18,028| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| pingchannel| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| success| httpbin| | 6 
2020-06-11 16:33:18,030| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| SSO| pingchannel| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| success| httpbin| | 8 
2020-06-11 16:33:37,579| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| | 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| inprogress| httpbin| | 8 
2020-06-11 16:33:47,193| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| pingchannel| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| success| httpbin| | 10 
2020-06-11 16:33:47,195| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| SSO| pingchannel| 172.19.0.1 | | httpbin| SAML20| 72ff3af2c194| IdP| success| httpbin| | 12 
2020-06-11 17:12:22,497| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| | 172.20.0.1 | | httpbin| SAML20| 93f97a2f1ba6| IdP| inprogress| httpbin| | 360 
2020-06-11 17:12:29,679| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| AUTHN_ATTEMPT| pingchannel| 172.20.0.1 | | httpbin| SAML20| 93f97a2f1ba6| IdP| success| httpbin| | 64 
2020-06-11 17:12:29,726| tid:t1WzT-M5OTBRRwFgvsSapKapY7s| SSO| pingchannel| 172.20.0.1 | | httpbin| SAML20| 93f97a2f1ba6| IdP| success| httpbin| | 111 
