2020-06-24 03:18:48,168  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: salesforce (SP) | Virtual Server ID: evaluation | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: RFU28g2TmnU475kUnzmGC9WSA0e | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 03:23:12,656  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: salesforce (SP) | Virtual Server ID: evaluation | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: s7ihInYS56FRhxdExqNvg25fg2i | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 03:30:58,435  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: salesforce (SP) | Virtual Server ID: evaluation | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: M5Ody-E1ZIo4M4-E0UFv-zkt7lU | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 03:33:13,738  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: salesforce (SP) | Virtual Server ID: evaluation | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: cFVVVvqJkyXzfYexbw8gnm9evUF | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 03:34:28,049  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: salesforce (SP) | Virtual Server ID: evaluation | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: f41PHvHuP5Os_j27qUuGvAJRPds | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 03:35:56,587  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: salesforce (SP) | Virtual Server ID: evaluation | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: R51YTN3j6W4U8dS8hf2heOP4b7o | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 03:41:46,091  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: https://pingchannel-dev-ed.my.salesforce.com (SP) | Virtual Server ID: evaluation | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: gmLqMMGP5t6sze-8Ytg09RB-jEE | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 03:44:28,859  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: salesforce (SP) | Virtual Server ID: evaluation | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: Ek7RCTfxTk1r5SNg5tI3bgB1bG3 | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 03:47:38,521  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: salesforce (SP) | Virtual Server ID: evaluation | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: x_mv25IPH51j4nxyH0AZ9KVwGTM | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 03:52:38,324  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: salesforce (SP) | Virtual Server ID: evaluation | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: osuzwF3Yvj5oSvc-TYVGnDzI32W | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 03:58:09,991  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: salesforce (SP) | Virtual Server ID: evaluation | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: mt.Yje0cjb3Aw3Nu_Kt_1Ed3Dzz | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 03:59:42,884  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: salesforce (SP) | Virtual Server ID: evaluation | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: yTMhXechCU6HWTuxgpke0el6LxJ | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 04:03:21,046  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: https://pingchannel-dev-ed.my.salesforce.com (SP) | Virtual Server ID: https://pingchannel-dev-ed.my.salesforce.com | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: G0H6XoNRh5KHcvIyXY8MU447HRd | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 04:03:58,669  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: https://pingchannel-dev-ed.my.salesforce.com (SP) | Virtual Server ID: https://pingchannel-dev-ed.my.salesforce.com | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: Czco-7Ue-caUpw_pEtaSuV4v3aA | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 04:05:05,670  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: https://pingchannel-dev-ed.my.salesforce.com (SP) | Virtual Server ID: https://pingchannel-dev-ed.my.salesforce.com | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: VheVNToAxsfoD_RzFtXO59JH2fX | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 04:06:22,711  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: https://pingchannel-dev-ed.my.salesforce.com (SP) | Virtual Server ID: https://pingchannel-dev-ed.my.salesforce.com | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: zyN3AoqYrfwLyPI6kpda2jhyVr- | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 04:07:07,494  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: https://pingchannel-dev-ed.my.salesforce.com (SP) | Virtual Server ID: https://pingchannel-dev-ed.my.salesforce.com | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: ydA6RPNFxQBXNX4TXcgI9FcL5XO | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
2020-06-24 04:07:57,699  | ff50c5f2b226:9031 | S | Sent Response | Connection ID: https://pingchannel-dev-ed.my.salesforce.com (SP) | Virtual Server ID: https://pingchannel-dev-ed.my.salesforce.com | urn:oasis:names:tc:SAML:2.0:status:Success | Response | SAML ID: n2DEq-nLzzbRevfJrR6BhRlJcFS | Endpoint: https://pingchannel-dev-ed.my.salesforce.com
